component_number	matrix	partition_name	edges	nodes_in_component	component_density	BUSCO_ID	BUSCO_description	SwissProt_accession	SwissProt_description	GO_annotations	ribo_found
0	Borowiec2015_Best108	OG427.fasta.aln_gene51	6	122	0.049857742853271915	EOG091G0K9M	proteasome (prosome, macropain) subunit, beta type, 2	P40307.1	RecName: Full=Proteasome subunit beta type-2; AltName: Full=Macropain subunit C7-I; AltName: Full=Multicatalytic endopeptidase complex subunit C7-I; AltName: Full=Proteasome component C7-I	GO:0005737; GO:0005654; GO:0005634; GO:0005839; GO:0019774; GO:0004175; GO:0004298; GO:0010498; GO:0010499; GO:0043161; GO:0014070; GO:0010243	False
0	Philippe2009	rps26	2	122	0.049857742853271915			A0A087WNH6.2	RecName: Full=Adenosylhomocysteinase; AltName: Full=BeSAHase; AltName: Full=S-adenosyl-L-homocysteine hydrolase; Short=SAHase	GO:0005737; GO:0004013; GO:0051287; GO:0006730; GO:0019510	False
0	Chang2015	rpl18	7	122	0.049857742853271915			Q2M0G4.2	RecName: Full=60S ribosomal protein L18	GO:0005840; GO:0003735; GO:0006412	True
0	Dunn2008	Tribe1162	5	122	0.049857742853271915			O09061.1	RecName: Full=Proteasome subunit beta type-1; AltName: Full=Macropain subunit C5; AltName: Full=Multicatalytic endopeptidase complex subunit C5; AltName: Full=Proteasome component C5; AltName: Full=Proteasome gamma chain; Flags: Precursor	GO:0005737; GO:0005829; GO:0005654; GO:0005634; GO:0000502; GO:0005839; GO:0019774; GO:0004175; GO:0004298; GO:0010498; GO:0010499; GO:0043161	False
0	Simion2017	V2META13432-42-Calc_Hmm10-BMGE05	4	122	0.049857742853271915			A1XQU1.2	RecName: Full=Proteasome subunit beta type-7; Flags: Precursor	GO:0005737; GO:0005829; GO:0005654; GO:0005634; GO:0005839; GO:0019774; GO:0004175; GO:0004298; GO:0010498; GO:0010499; GO:0043161	False
0	Philippe2009	psmb-H	10	122	0.049857742853271915			P28070.4	RecName: Full=Proteasome subunit beta type-4; AltName: Full=26 kDa prosomal protein; Short=HsBPROS26; Short=PROS-26; AltName: Full=Macropain beta chain; AltName: Full=Multicatalytic endopeptidase complex beta chain; AltName: Full=Proteasome beta chain; AltName: Full=Proteasome chain 3; Short=HsN3; Flags: Precursor	GO:0005737; GO:0005829; GO:0070062; GO:0005654; GO:0005634; GO:0000502; GO:0005839; GO:0019774; GO:0004175; GO:0001530; GO:0004298; GO:0002862; GO:0043687; GO:0010498; GO:0010499; GO:0043161; GO:0016579; GO:0016032	False
0	Simion2017	V2META11247-2-42-Calc_Hmm10-BMGE05	5	122	0.049857742853271915			P32233.1	RecName: Full=Developmentally-regulated GTP-binding protein 1; Short=DRG-1; AltName: Full=Neural precursor cell expressed developmentally down-regulated protein 3; Short=NEDD-3	GO:0005737; GO:0005829; GO:0016604; GO:0005844; GO:0005525; GO:0016787; GO:0042802; GO:0046872; GO:0002181	False
0	Borowiec2015_Total1080	OG3.fasta.aln_gene457	4	122	0.049857742853271915			P47208.1	RecName: Full=T-complex protein 1 subunit delta; Short=TCP-1-delta; AltName: Full=CCT-delta	GO:0005832; GO:0005524; GO:0051082; GO:0040032; GO:0006457	False
0	Whelan2017_full	Subset11_05	2	122	0.049857742853271915			P34280.2	RecName: Full=Uncharacterized GTP-binding protein C02F5.3	GO:0005737; GO:0005525; GO:0002181	False
0	Philippe2009	rps4	5	122	0.049857742853271915			A2Q0U8.1	RecName: Full=40S ribosomal protein SA; AltName: Full=37 kDa laminin receptor precursor; Short=37LRP; AltName: Full=37/67 kDa laminin receptor; Short=LRP/LR; AltName: Full=67 kDa laminin receptor; Short=67LR; AltName: Full=Laminin receptor 1; Short=LamR; AltName: Full=Laminin-binding protein precursor p40; Short=LBP/p40	GO:0022627; GO:0005634; GO:0005886; GO:0043236; GO:0005055; GO:0003735; GO:0000028; GO:0006412	True
0	Borowiec2015_Total1080	OG731.fasta.aln_gene804	8	122	0.049857742853271915	EOG091G0ZRG	Ribosomal protein S19, superfamily	O65059.1	RecName: Full=40S ribosomal protein S15	GO:0015935; GO:0003723; GO:0003735; GO:0006412	True
0	Ryan2013_est	gene403	3	122	0.049857742853271915			O23717.1	RecName: Full=Proteasome subunit beta type-5-A; AltName: Full=20S proteasome beta subunit E-1; AltName: Full=Proteasome component E; AltName: Full=Proteasome epsilon-1 chain; Flags: Precursor	GO:0005737; GO:0005634; GO:0005839; GO:0019774; GO:0004175; GO:0004298; GO:0010498; GO:0010499; GO:0043161	False
0	Chang2015	rpl12b	6	122	0.049857742853271915			P23358.1	RecName: Full=60S ribosomal protein L12	GO:0022625; GO:0015934; GO:0070180; GO:0019843; GO:0003735; GO:0045901; GO:0000027; GO:0006412	True
0	Nosenko2013_ribo_11057	KOG1696	6	122	0.049857742853271915			O02639.1	RecName: Full=60S ribosomal protein L19	GO:0022625; GO:0003723; GO:0003735; GO:0008340; GO:0006412	True
0	Ryan2013_est	gene323	5	122	0.049857742853271915	EOG091G0TNU	Ribosomal protein S17e	A5PK63.1	RecName: Full=40S ribosomal protein S17	GO:0005840; GO:0003735; GO:0006412	True
0	Philippe2009	psma-F	4	122	0.049857742853271915			A1XQU1.2	RecName: Full=Proteasome subunit beta type-7; Flags: Precursor	GO:0005737; GO:0005829; GO:0005654; GO:0005634; GO:0005839; GO:0019774; GO:0004175; GO:0004298; GO:0010498; GO:0010499; GO:0043161	False
0	Simion2017	V2META14100-42-Calc_Hmm10-BMGE05	9	122	0.049857742853271915			Q29384.1	RecName: Full=Proteasome subunit beta type-4; AltName: Full=Macropain beta chain; AltName: Full=Multicatalytic endopeptidase complex beta chain; AltName: Full=Proteasome beta chain; AltName: Full=Proteasome chain 3; Flags: Precursor	GO:0005737; GO:0005634; GO:0005839; GO:0019774; GO:0004175; GO:0004298; GO:0010498; GO:0010499; GO:0043161	False
0	Borowiec2015_Best108	OG75.fasta.aln_gene92	7	122	0.049857742853271915			P49720.2	RecName: Full=Proteasome subunit beta type-3; AltName: Full=Proteasome chain 13; AltName: Full=Proteasome component C10-II; AltName: Full=Proteasome theta chain	GO:0005737; GO:0005829; GO:0070062; GO:0005654; GO:0005634; GO:0000502; GO:0005839; GO:0019774; GO:0004175; GO:0004298; GO:0043687; GO:0010498; GO:0010499; GO:0043161; GO:0016579; GO:0016032	False
0	Ryan2013_est	gene95	6	122	0.049857742853271915	EOG091G0K9M	proteasome (prosome, macropain) subunit, beta type, 2	Q5E9K0.1	RecName: Full=Proteasome subunit beta type-2	GO:0005737; GO:0005634; GO:0005839; GO:0019774; GO:0004175; GO:0004298; GO:0010498; GO:0010499; GO:0043161	False
0	Nosenko2013_nonribo_9187	KOG1370	4	122	0.049857742853271915			A0A087WNH6.2	RecName: Full=Adenosylhomocysteinase; AltName: Full=BeSAHase; AltName: Full=S-adenosyl-L-homocysteine hydrolase; Short=SAHase	GO:0005737; GO:0004013; GO:0051287; GO:0006730; GO:0019510	False
0	Dunn2008	Tribe179	7	122	0.049857742853271915			A3F4S0.1	RecName: Full=60S ribosomal protein L18	GO:0005840; GO:0003735; GO:0006412	True
0	Ryan2013_est	gene221	7	122	0.049857742853271915			A3F4S0.1	RecName: Full=60S ribosomal protein L18	GO:0005840; GO:0003735; GO:0006412	True
0	Nosenko2013_ribo_11057	KOG1475	3	122	0.049857742853271915			B8B9K6.1	RecName: Full=60S ribosomal protein L10a	GO:0015934; GO:0003723; GO:0003735; GO:0006412	True
0	Ryan2013_est	gene402	4	122	0.049857742853271915			A1XQU1.2	RecName: Full=Proteasome subunit beta type-7; Flags: Precursor	GO:0005737; GO:0005829; GO:0005654; GO:0005634; GO:0005839; GO:0019774; GO:0004175; GO:0004298; GO:0010498; GO:0010499; GO:0043161	False
0	Chang2015	rps15	8	122	0.049857742853271915	EOG091G0ZRG	Ribosomal protein S19, superfamily	O65059.1	RecName: Full=40S ribosomal protein S15	GO:0015935; GO:0003723; GO:0003735; GO:0006412	True
0	Nosenko2013_ribo_11057	KOG1714	6	122	0.049857742853271915			A3F4S0.1	RecName: Full=60S ribosomal protein L18	GO:0005840; GO:0003735; GO:0006412	True
0	Hejnol2009	Tribe1038_0	8	122	0.049857742853271915			O73817.1	RecName: Full=Proteasome subunit beta type-3; AltName: Full=Proteasome chain 13; AltName: Full=Proteasome component C10-II; AltName: Full=Proteasome theta chain	GO:0005737; GO:0005634; GO:0005839; GO:0019774; GO:0004298; GO:0043161	False
0	Borowiec2015_Total1080	OG6.fasta.aln_gene771	4	122	0.049857742853271915	EOG091G07CE	chaperonin containing TCP1, subunit 6B (zeta 2)	O77622.3	RecName: Full=T-complex protein 1 subunit zeta; Short=TCP-1-zeta; AltName: Full=CCT-zeta	GO:0005832; GO:0005829; GO:0005874; GO:0005524; GO:0051082; GO:0071987; GO:1904851; GO:0032212; GO:0006457; GO:0050821	False
0	Chang2015	psmb_01	30	122	0.049857742853271915	EOG091G0K9M	proteasome (prosome, macropain) subunit, beta type, 2	A1XQU1.2	RecName: Full=Proteasome subunit beta type-7; Flags: Precursor	GO:0005737; GO:0005829; GO:0005654; GO:0005634; GO:0005839; GO:0019774; GO:0004175; GO:0004298; GO:0010498; GO:0010499; GO:0043161	False
0	Nosenko2013_ribo_14615	KOG0187	4	122	0.049857742853271915	EOG091G0TNU	Ribosomal protein S17e	A5PK63.1	RecName: Full=40S ribosomal protein S17	GO:0005840; GO:0003735; GO:0006412	True
0	Philippe2009	rpl5	14	122	0.049857742853271915	EOG091G0ZRG	Ribosomal protein S19, superfamily	Q54EG3.1	RecName: Full=40S ribosomal protein S14	GO:0022627; GO:0031012; GO:0048027; GO:0003723; GO:0070181; GO:0003735; GO:0000462; GO:0000028; GO:0006412	True
0	Ryan2013_est	gene14	8	122	0.049857742853271915	EOG091G0ZRG	Ribosomal protein S19, superfamily	O65059.1	RecName: Full=40S ribosomal protein S15	GO:0015935; GO:0003723; GO:0003735; GO:0006412	True
0	Borowiec2015_Best108	OG4.fasta.aln_gene62	3	122	0.049857742853271915			O00782.1	RecName: Full=T-complex protein 1 subunit gamma; Short=TCP-1-gamma; AltName: Full=CCT-gamma; AltName: Full=Chaperonin subunit CCTV gamma	GO:0005737; GO:0005524; GO:0051082; GO:0006457	False
0	Borowiec2015_Total1080	OG75.fasta.aln_gene834	7	122	0.049857742853271915			P49720.2	RecName: Full=Proteasome subunit beta type-3; AltName: Full=Proteasome chain 13; AltName: Full=Proteasome component C10-II; AltName: Full=Proteasome theta chain	GO:0005737; GO:0005829; GO:0070062; GO:0005654; GO:0005634; GO:0000502; GO:0005839; GO:0019774; GO:0004175; GO:0004298; GO:0043687; GO:0010498; GO:0010499; GO:0043161; GO:0016579; GO:0016032	False
0	Philippe2009	rpl6	11	122	0.049857742853271915			O22647.1	RecName: Full=40S ribosomal protein S16	GO:0005840; GO:0003735; GO:0006412	True
0	Borowiec2015_Best108	OG6.fasta.aln_gene88	4	122	0.049857742853271915	EOG091G07CE	chaperonin containing TCP1, subunit 6B (zeta 2)	O77622.3	RecName: Full=T-complex protein 1 subunit zeta; Short=TCP-1-zeta; AltName: Full=CCT-zeta	GO:0005832; GO:0005829; GO:0005874; GO:0005524; GO:0051082; GO:0071987; GO:1904851; GO:0032212; GO:0006457; GO:0050821	False
