matrix	part	sseqid	swissprot_desc	count
Borowiec2015_Best108	OG167.fasta.aln_gene17	P40826.3	RecName: Full=Ubiquitin carboxyl-terminal hydrolase 14; AltName: Full=Deubiquitinating enzyme 14; AltName: Full=Ubiquitin thioesterase 14; AltName: Full=Ubiquitin-specific-processing protease 14	30
Borowiec2015_Best108	OG17.fasta.aln_gene18	Q16775.2	RecName: Full=Hydroxyacylglutathione hydrolase, mitochondrial; AltName: Full=Glyoxalase II; Short=Glx II; Flags: Precursor	30
Borowiec2015_Best108	OG190.fasta.aln_gene19	O95363.1	RecName: Full=Phenylalanine--tRNA ligase, mitochondrial; AltName: Full=Phenylalanyl-tRNA synthetase; Short=PheRS; Flags: Precursor	28
Borowiec2015_Best108	OG198.fasta.aln_gene20	P23258.2	RecName: Full=Tubulin gamma-1 chain; AltName: Full=Gamma-1-tubulin; AltName: Full=Gamma-tubulin complex component 1; Short=GCP-1	30
Borowiec2015_Best108	OG2.fasta.aln_gene36	Q5U5C5.1	RecName: Full=U4/U6 small nuclear ribonucleoprotein Prp31; AltName: Full=Pre-mRNA-processing factor 31	32
Borowiec2015_Best108	OG201.fasta.aln_gene21	O15213.3	RecName: Full=WD repeat-containing protein 46; AltName: Full=WD repeat-containing protein BING4	13
Borowiec2015_Best108	OG205.fasta.aln_gene22	P39736.1	RecName: Full=Puff-specific protein Bx42	37
Borowiec2015_Best108	OG209.fasta.aln_gene23	Q6GQ48.1	RecName: Full=Lipoyl synthase, mitochondrial; AltName: Full=Lipoate synthase; Short=LS; Short=Lip-syn; AltName: Full=Lipoic acid synthase	34
Borowiec2015_Best108	OG211.fasta.aln_gene24	Q29RZ2.1	RecName: Full=Peptidylprolyl isomerase domain and WD repeat-containing protein 1	33
Borowiec2015_Best108	OG218.fasta.aln_gene25	O75489.1	RecName: Full=NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial; AltName: Full=Complex I-30kD; Short=CI-30kD; AltName: Full=NADH-ubiquinone oxidoreductase 30 kDa subunit; Flags: Precursor	33
Borowiec2015_Best108	OG248.fasta.aln_gene26	Q9D600.1	RecName: Full=DNA replication complex GINS protein PSF2; AltName: Full=GINS complex subunit 2	21
Borowiec2015_Best108	OG250.fasta.aln_gene27	A5GFY4.1	RecName: Full=Negative elongation factor D; Short=NELF-D; AltName: Full=TH1-like protein	27
Borowiec2015_Best108	OG253.fasta.aln_gene28	P17077.1	RecName: Full=60S ribosomal protein L9	34
Borowiec2015_Best108	OG263.fasta.aln_gene29	Q9N1Q0.1	RecName: Full=Small nuclear ribonucleoprotein-associated protein B'; Short=snRNP-B'; Short=snRPB'; AltName: Full=Sm protein B'; Short=Sm-B'; Short=SmB'	35
Borowiec2015_Best108	OG268.fasta.aln_gene30	Q62559.2	RecName: Full=Intraflagellar transport protein 52 homolog; AltName: Full=Protein NGD5	22
Borowiec2015_Best108	OG270.fasta.aln_gene31	O75844.2	RecName: Full=CAAX prenyl protease 1 homolog; AltName: Full=Farnesylated proteins-converting enzyme 1; Short=FACE-1; AltName: Full=Prenyl protein-specific endoprotease 1; AltName: Full=Zinc metalloproteinase Ste24 homolog	21
Borowiec2015_Best108	OG28.fasta.aln_gene32	P19387.2	RecName: Full=DNA-directed RNA polymerase II subunit RPB3; Short=RNA polymerase II subunit 3; Short=RNA polymerase II subunit B3; AltName: Full=DNA-directed RNA polymerase II 33 kDa polypeptide; Short=RPB33; AltName: Full=DNA-directed RNA polymerase II subunit C; AltName: Full=RPB31	36
Borowiec2015_Best108	OG294.fasta.aln_gene33	O94449.1	RecName: Full=Replication factor C subunit 4; Short=Replication factor C4	35
Borowiec2015_Best108	OG295.fasta.aln_gene34	P40938.2	RecName: Full=Replication factor C subunit 3; AltName: Full=Activator 1 38 kDa subunit; Short=A1 38 kDa subunit; AltName: Full=Activator 1 subunit 3; AltName: Full=Replication factor C 38 kDa subunit; Short=RF-C 38 kDa subunit; Short=RFC38	34
Borowiec2015_Best108	OG298.fasta.aln_gene35	Q6NVS5.1	RecName: Full=DDB1- and CUL4-associated factor 13; AltName: Full=WD repeat and SOF domain-containing protein 1	33
Borowiec2015_Best108	OG3.fasta.aln_gene48	P47208.1	RecName: Full=T-complex protein 1 subunit delta; Short=TCP-1-delta; AltName: Full=CCT-delta	35
Borowiec2015_Best108	OG30.fasta.aln_gene38	P32235.2	RecName: Full=GTP-binding protein 1	33
Borowiec2015_Best108	OG302.fasta.aln_gene37	Q5XIH0.1	RecName: Full=Repressor of RNA polymerase III transcription MAF1 homolog	28
Borowiec2015_Best108	OG327.fasta.aln_gene39	Q9JJ80.2	RecName: Full=Ribosome production factor 2 homolog; AltName: Full=Brix domain-containing protein 1; AltName: Full=Ribosome biogenesis protein RPF2 homolog	25
Borowiec2015_Best108	OG335.fasta.aln_gene40	P45478.1	RecName: Full=Palmitoyl-protein thioesterase 1; Short=PPT-1; AltName: Full=Palmitoyl-protein hydrolase 1; Flags: Precursor	31
Borowiec2015_Best108	OG364.fasta.aln_gene41	O43172.2	RecName: Full=U4/U6 small nuclear ribonucleoprotein Prp4; AltName: Full=PRP4 homolog; Short=hPrp4; AltName: Full=U4/U6 snRNP 60 kDa protein; AltName: Full=WD splicing factor Prp4	28
Borowiec2015_Best108	OG365.fasta.aln_gene42	Q5F201.1	RecName: Full=Cilia- and flagella-associated protein 52; AltName: Full=WD repeat-containing protein 16	19
Borowiec2015_Best108	OG366.fasta.aln_gene43	A2RRU3.1	RecName: Full=U3 small nucleolar RNA-associated protein 15 homolog	7
Borowiec2015_Best108	OG370.fasta.aln_gene44	P97390.1	RecName: Full=Vacuolar protein sorting-associated protein 45; Short=mVps45	30
Borowiec2015_Best108	OG378.fasta.aln_gene45	Q2UMG1.1	RecName: Full=Pre-rRNA-processing protein pno1	35
Borowiec2015_Best108	OG379.fasta.aln_gene46	Q28BT8.2	RecName: Full=tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like; AltName: Full=tRNA-dihydrouridine synthase 3-like	34
Borowiec2015_Best108	OG384.fasta.aln_gene47	Q9YHZ6.2	RecName: Full=Cell division control protein 45 homolog	13
Borowiec2015_Best108	OG4.fasta.aln_gene62	O00782.1	RecName: Full=T-complex protein 1 subunit gamma; Short=TCP-1-gamma; AltName: Full=CCT-gamma; AltName: Full=Chaperonin subunit CCTV gamma	30
Borowiec2015_Best108	OG408.fasta.aln_gene49	P61356.2	RecName: Full=60S ribosomal protein L27	32
Borowiec2015_Best108	OG423.fasta.aln_gene50	A6NHQ2.2	RecName: Full=rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1; AltName: Full=Protein-glutamine methyltransferase	31
Borowiec2015_Best108	OG427.fasta.aln_gene51	P40307.1	RecName: Full=Proteasome subunit beta type-2; AltName: Full=Macropain subunit C7-I; AltName: Full=Multicatalytic endopeptidase complex subunit C7-I; AltName: Full=Proteasome component C7-I	24
Borowiec2015_Best108	OG43.fasta.aln_gene54	Q6IQU6.1	RecName: Full=Ribosome production factor 1; AltName: Full=Brix domain-containing protein 5; AltName: Full=Ribosome biogenesis protein RPF1	29
Borowiec2015_Best108	OG430.fasta.aln_gene52	Q6GPQ6.1	RecName: Full=Endothelial differentiation-related factor 1 homolog; Short=EDF-1	32
Borowiec2015_Best108	OG438.fasta.aln_gene53	Q5E9N0.1	RecName: Full=Bystin	29
Borowiec2015_Best108	OG440.fasta.aln_gene55	P62249.2	RecName: Full=40S ribosomal protein S16; AltName: Full=Small ribosomal subunit protein uS9	32
Borowiec2015_Best108	OG444.fasta.aln_gene56	Q5R9K4.1	RecName: Full=Vacuole membrane protein 1; AltName: Full=Transmembrane protein 49	29
Borowiec2015_Best108	OG467.fasta.aln_gene57	D2SW95.1	RecName: Full=Coatomer subunit beta; AltName: Full=Beta-coat protein; Short=Beta-COP	35
Borowiec2015_Best108	OG474.fasta.aln_gene58	Q6NV26.1	RecName: Full=Protein SDA1 homolog; AltName: Full=SDA1 domain-containing protein 1	28
Borowiec2015_Best108	OG482.fasta.aln_gene59	A8N0V8.1	RecName: Full=ATPase GET3; AltName: Full=Arsenical pump-driving ATPase; AltName: Full=Arsenite-stimulated ATPase; AltName: Full=Golgi to ER traffic protein 3; AltName: Full=Guided entry of tail-anchored proteins 3	34
Borowiec2015_Best108	OG49.fasta.aln_gene61	Q8AVI4.1	RecName: Full=Leucine-rich repeat protein SHOC-2; AltName: Full=Protein soc-2 homolog; AltName: Full=Protein sur-8 homolog	31
Borowiec2015_Best108	OG496.fasta.aln_gene60	O17915.1	RecName: Full=GTP-binding nuclear protein ran-1; AltName: Full=Ras-related nuclear protein 1	34
Borowiec2015_Best108	OG5.fasta.aln_gene77	P47207.2	RecName: Full=T-complex protein 1 subunit beta; Short=TCP-1-beta; AltName: Full=CCT-beta	31
Borowiec2015_Best108	OG513.fasta.aln_gene63	P41563.1	RecName: Full=Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; AltName: Full=Isocitrate dehydrogenase subunits 3/4; AltName: Full=Isocitric dehydrogenase subunit alpha; AltName: Full=NAD(+)-specific ICDH subunit alpha; Flags: Precursor	35
Borowiec2015_Best108	OG518.fasta.aln_gene64	P38117.3	RecName: Full=Electron transfer flavoprotein subunit beta; Short=Beta-ETF	33
Borowiec2015_Best108	OG52.fasta.aln_gene65	P37879.1	RecName: Full=Lysine--tRNA ligase; AltName: Full=Lysyl-tRNA synthetase; Short=LysRS	34
Borowiec2015_Best108	OG538.fasta.aln_gene66	Q4R5H6.1	RecName: Full=Maspardin; AltName: Full=Spastic paraplegia 21 autosomal recessive Mast syndrome protein homolog	27
Borowiec2015_Best108	OG548.fasta.aln_gene67	Q148M8.1	RecName: Full=Activator of basal transcription 1	8
Borowiec2015_Best108	OG553.fasta.aln_gene68	P19253.4	RecName: Full=60S ribosomal protein L13a; AltName: Full=Transplantation antigen P198; AltName: Full=Tum-P198 antigen	33
Borowiec2015_Best108	OG557.fasta.aln_gene69	Q2M389.2	RecName: Full=WASH complex subunit 4; AltName: Full=Strumpellin and WASH-interacting protein; Short=SWIP; AltName: Full=WASH complex subunit SWIP	20
Borowiec2015_Best108	OG559.fasta.aln_gene70	Q5U3S7.1	RecName: Full=Nitric oxide synthase-interacting protein; AltName: Full=E3 ubiquitin-protein ligase NOSIP; AltName: Full=RING-type E3 ubiquitin transferase NOSIP	25
Borowiec2015_Best108	OG561.fasta.aln_gene71	A4QND5.1	RecName: Full=60S ribosome subunit biogenesis protein NIP7 homolog	34
Borowiec2015_Best108	OG567.fasta.aln_gene72	P47968.2	RecName: Full=Ribose-5-phosphate isomerase; AltName: Full=Phosphoriboisomerase	35
Borowiec2015_Best108	OG573.fasta.aln_gene73	Q5XI06.1	RecName: Full=Histone acetyltransferase KAT8; AltName: Full=Lysine acetyltransferase 8; AltName: Full=MOZ, YBF2/SAS3, SAS2 and TIP60 protein 1; Short=MYST-1	31
Borowiec2015_Best108	OG581.fasta.aln_gene74	A5PJA1.1	RecName: Full=Adenylate kinase isoenzyme 6; Short=AK6; AltName: Full=Coilin-interacting nuclear ATPase protein; AltName: Full=Dual activity adenylate kinase/ATPase; Short=AK/ATPase	31
Borowiec2015_Best108	OG594.fasta.aln_gene75	Q3SZ12.1	RecName: Full=Probable ribosome biogenesis protein RLP24; AltName: Full=Ribosomal L24 domain-containing protein 1	32
Borowiec2015_Best108	OG596.fasta.aln_gene76	Q29384.1	RecName: Full=Proteasome subunit beta type-4; AltName: Full=Macropain beta chain; AltName: Full=Multicatalytic endopeptidase complex beta chain; AltName: Full=Proteasome beta chain; AltName: Full=Proteasome chain 3; Flags: Precursor	28
Borowiec2015_Best108	OG6.fasta.aln_gene88	O77622.3	RecName: Full=T-complex protein 1 subunit zeta; Short=TCP-1-zeta; AltName: Full=CCT-zeta	30
Borowiec2015_Best108	OG619.fasta.aln_gene78	Q6DGW9.1	RecName: Full=Calcium load-activated calcium channel; Short=CLAC channel; AltName: Full=Transmembrane and coiled-coil domain-containing protein 1	33
Borowiec2015_Best108	OG624.fasta.aln_gene79	Q5I0D1.1	RecName: Full=Glyoxalase domain-containing protein 4	28
Borowiec2015_Best108	OG633.fasta.aln_gene80	A1XQU3.1	RecName: Full=60S ribosomal protein L14	21
Borowiec2015_Best108	OG642.fasta.aln_gene81	Q13610.1	RecName: Full=Periodic tryptophan protein 1 homolog; AltName: Full=Keratinocyte protein IEF SSP 9502	8
Borowiec2015_Best108	OG649.fasta.aln_gene82	O08697.1	RecName: Full=ADP-ribosylation factor-like protein 2	34
Borowiec2015_Best108	OG654.fasta.aln_gene83	Q91WN1.2	RecName: Full=DnaJ homolog subfamily C member 9	11
Borowiec2015_Best108	OG66.fasta.aln_gene84	A1CIQ5.1	RecName: Full=ATP-dependent RNA helicase has1	33
Borowiec2015_Best108	OG685.fasta.aln_gene85	Q6MG08.1	RecName: Full=ATP-binding cassette sub-family F member 1; AltName: Full=ATP-binding cassette 50	33
Borowiec2015_Best108	OG686.fasta.aln_gene86	Q5R9Z5.1	RecName: Full=ATP-binding cassette sub-family F member 3	33
Borowiec2015_Best108	OG689.fasta.aln_gene87	Q3T0M3.1	RecName: Full=U3 small nucleolar ribonucleoprotein protein IMP3; Short=U3 snoRNP protein IMP3	32
Borowiec2015_Best108	OG716.fasta.aln_gene89	A6QLJ0.1	RecName: Full=General transcription and DNA repair factor IIH helicase subunit XPD; Short=TFIIH subunit XPD; AltName: Full=CXPD; AltName: Full=DNA excision repair protein ERCC-2; AltName: Full=DNA repair protein complementing XP-D cells; AltName: Full=Xeroderma pigmentosum group D-complementing protein	33
Borowiec2015_Best108	OG726.fasta.aln_gene90	A4FV84.1	RecName: Full=mRNA turnover protein 4 homolog; AltName: Full=Ribosome assembly factor MRTO4	32
Borowiec2015_Best108	OG75.fasta.aln_gene92	P49720.2	RecName: Full=Proteasome subunit beta type-3; AltName: Full=Proteasome chain 13; AltName: Full=Proteasome component C10-II; AltName: Full=Proteasome theta chain	30
Borowiec2015_Best108	OG750.fasta.aln_gene91	O08522.1	RecName: Full=Golgi SNAP receptor complex member 1; AltName: Full=28 kDa Golgi SNARE protein; AltName: Full=28 kDa cis-Golgi SNARE p28; Short=GOS-28	20
Borowiec2015_Best108	OG780.fasta.aln_gene93	Q2KIU7.1	RecName: Full=Radial spoke head protein 9 homolog	15
Borowiec2015_Best108	OG79.fasta.aln_gene94	O70435.3	RecName: Full=Proteasome subunit alpha type-3; AltName: Full=Macropain subunit C8; AltName: Full=Multicatalytic endopeptidase complex subunit C8; AltName: Full=Proteasome component C8; AltName: Full=Proteasome subunit K	31
Borowiec2015_Best108	OG803.fasta.aln_gene95	B3MM49.1	RecName: Full=KRR1 small subunit processome component homolog; AltName: Full=KRR-R motif-containing protein 1; AltName: Full=Protein dribble	33
Borowiec2015_Best108	OG81.fasta.aln_gene96	P81999.2	RecName: Full=DnaJ homolog subfamily B member 11; AltName: Full=ER-associated DNAJ; AltName: Full=ER-associated Hsp40 co-chaperone; AltName: Full=Endoplasmic reticulum DNA J domain-containing protein 3; Short=ER-resident protein ERdj3; Short=ERdj3; Short=ERj3p; Flags: Precursor	35
Borowiec2015_Best108	OG828.fasta.aln_gene97	O35130.1	RecName: Full=Ribosomal RNA small subunit methyltransferase NEP1; AltName: Full=18S rRNA (pseudouridine(1248)-N1)-methyltransferase; AltName: Full=18S rRNA Psi1248 methyltransferase; AltName: Full=Nucleolar protein EMG1 homolog; AltName: Full=Protein C2f; AltName: Full=Ribosome biogenesis protein NEP1	35
Borowiec2015_Best108	OG835.fasta.aln_gene98	Q5FW29.1	RecName: Full=Charged multivesicular body protein 5; AltName: Full=Chromatin-modifying protein 5	32
Borowiec2015_Best108	OG84.fasta.aln_gene99	P97311.1	RecName: Full=DNA replication licensing factor MCM6; AltName: Full=Mis5 homolog	35
Borowiec2015_Best108	OG85.fasta.aln_gene100	P33993.4	RecName: Full=DNA replication licensing factor MCM7; AltName: Full=CDC47 homolog; AltName: Full=P1.1-MCM3	36
Borowiec2015_Best108	OG86.fasta.aln_gene101	P49736.4	RecName: Full=DNA replication licensing factor MCM2; AltName: Full=Minichromosome maintenance protein 2 homolog; AltName: Full=Nuclear protein BM28	35
Borowiec2015_Best108	OG871.fasta.aln_gene102	P00505.3	RecName: Full=Aspartate aminotransferase, mitochondrial; Short=mAspAT; AltName: Full=Fatty acid-binding protein; Short=FABP-1; AltName: Full=Glutamate oxaloacetate transaminase 2; AltName: Full=Kynurenine aminotransferase 4; AltName: Full=Kynurenine aminotransferase IV; AltName: Full=Kynurenine--oxoglutarate transaminase 4; AltName: Full=Kynurenine--oxoglutarate transaminase IV; AltName: Full=Plasma membrane-associated fatty acid-binding protein; Short=FABPpm; AltName: Full=Transaminase A; Flags: Precursor	36
Borowiec2015_Best108	OG88.fasta.aln_gene103	P33992.5	RecName: Full=DNA replication licensing factor MCM5; AltName: Full=CDC46 homolog; AltName: Full=P1-CDC46	35
Borowiec2015_Best108	OG89.fasta.aln_gene105	P30664.3	RecName: Full=DNA replication licensing factor mcm4-B; AltName: Full=CDC21 homolog-B; AltName: Full=Minichromosome maintenance protein 4-B; Short=xMCM4-B; AltName: Full=P1-CDC21-B	33
Borowiec2015_Best108	OG890.fasta.aln_gene104	P56812.3	RecName: Full=Programmed cell death protein 5; AltName: Full=TF-1 cell apoptosis-related protein 19; Short=Protein TFAR19	27
Borowiec2015_Best108	OG920.fasta.aln_gene106	Q53FT3.2	RecName: Full=Protein Hikeshi	19
Borowiec2015_Best108	OG95.fasta.aln_gene108	Q3ZC84.1	RecName: Full=Cytosolic non-specific dipeptidase; AltName: Full=CNDP dipeptidase 2	30
Borowiec2015_Best108	OG954.fasta.aln_gene107	Q9H9Y6.2	RecName: Full=DNA-directed RNA polymerase I subunit RPA2; Short=RNA polymerase I subunit 2; AltName: Full=DNA-directed RNA polymerase I 135 kDa polypeptide; Short=RPA135	18
Chang2015	ar21	A1DPK7.1	RecName: Full=Actin-related protein 2/3 complex subunit 3-A	61
Chang2015	arc20	O96625.1	RecName: Full=Actin-related protein 2/3 complex subunit 4; AltName: Full=Arp2/3 complex 20 kDa subunit; Short=p20-ARC	74
Chang2015	arp23	Q9WV32.4	RecName: Full=Actin-related protein 2/3 complex subunit 1B; AltName: Full=Arp2/3 complex 41 kDa subunit; AltName: Full=p41-ARC	53
Chang2015	atpsynthalpha	A0LDA2.1	RecName: Full=ATP synthase subunit alpha; AltName: Full=ATP synthase F1 sector subunit alpha; AltName: Full=F-ATPase subunit alpha	73
Chang2015	cct	P78371.4	RecName: Full=T-complex protein 1 subunit beta; Short=TCP-1-beta; AltName: Full=CCT-beta	76
Chang2015	cct_01	Q29068.1	RecName: Full=T-complex protein 1 subunit gamma; Short=TCP-1-gamma; AltName: Full=CCT-gamma; AltName: Full=Matricin	225
Chang2015	cpn60	O02649.3	RecName: Full=Heat shock protein 60A; Flags: Precursor	75
Chang2015	crfg	O44411.1	RecName: Full=Nucleolar GTP-binding protein 1	76
Chang2015	dihydrolatransacylase	Q90512.1	RecName: Full=Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial; AltName: Full=2-oxoglutarate dehydrogenase complex component E2; Short=OGDC-E2; AltName: Full=Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex; AltName: Full=E2K; Flags: Precursor	125
Chang2015	ef1	A2Q0Z0.1	RecName: Full=Elongation factor 1-alpha 1; Short=EF-1-alpha-1; AltName: Full=Elongation factor Tu; Short=EF-Tu; AltName: Full=Eukaryotic elongation factor 1 A-1; Short=eEF1A-1	70
Chang2015	ef1_01	P15170.1	RecName: Full=Eukaryotic peptide chain release factor GTP-binding subunit ERF3A; Short=Eukaryotic peptide chain release factor subunit 3a; Short=eRF3a; AltName: Full=G1 to S phase transition protein 1 homolog	74
Chang2015	ef2	Q8C0D5.1	RecName: Full=Elongation factor-like GTPase 1; AltName: Full=Elongation factor Tu GTP-binding domain-containing protein 1; AltName: Full=Elongation factor-like 1; AltName: Full=Protein FAM42A	144
Chang2015	ef2_01	A4FUD3.1	RecName: Full=116 kDa U5 small nuclear ribonucleoprotein component; AltName: Full=Elongation factor Tu GTP-binding domain protein 2; AltName: Full=U5 snRNP-specific protein, 116 kDa; Short=U5-116 kDa	86
Chang2015	fibri	P35549.1	RecName: Full=rRNA 2'-O-methyltransferase fibrillarin; AltName: Full=Histone-glutamine methyltransferase	74
Chang2015	fpps	P08836.2	RecName: Full=Farnesyl pyrophosphate synthase; Short=FPP synthase; Short=FPS; AltName: Full=(2E,6E)-farnesyl diphosphate synthase; AltName: Full=Dimethylallyltranstransferase; AltName: Full=Farnesyl diphosphate synthase; AltName: Full=Geranyltranstransferase	18
Chang2015	glcn	Q5EA65.1	RecName: Full=UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase; AltName: Full=GlcNAc-1-P transferase; Short=G1PT; Short=GPT; AltName: Full=N-acetylglucosamine-1-phosphate transferase	45
Chang2015	grc5	O22431.1	RecName: Full=60S ribosomal protein L10; AltName: Full=Wilms tumor suppressor homolog	72
Chang2015	hsp70	P19208.2	RecName: Full=Heat shock 70 kDa protein C; Flags: Precursor	75
Chang2015	hsp70_01	A1B4E9.1	RecName: Full=Chaperone protein DnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70	79
Chang2015	hsp90	Q58FG1.1	PUTATIVE PSEUDOGENE: RecName: Full=Putative heat shock protein HSP 90-alpha A4; AltName: Full=Heat shock 90 kDa protein 1 alpha-like 2; AltName: Full=Heat shock protein 90-alpha D; Short=Heat shock protein 90Ad	204
Chang2015	hsp90_01	P04811.1	RecName: Full=Heat shock protein 83; AltName: Full=HSP 82	83
Chang2015	if1a	O14602.4	RecName: Full=Eukaryotic translation initiation factor 1A, Y-chromosomal; Short=eIF-1A Y isoform; AltName: Full=Eukaryotic translation initiation factor 4C; Short=eIF-4C	65
Chang2015	if2b	P20042.2	RecName: Full=Eukaryotic translation initiation factor 2 subunit 2; AltName: Full=Eukaryotic translation initiation factor 2 subunit beta; Short=eIF-2-beta	70
Chang2015	if2g	C9WPN6.2	RecName: Full=Eukaryotic translation initiation factor 2 subunit 3, Y-linked; AltName: Full=Eukaryotic translation initiation factor 2 subunit gamma, Y-linked; Short=eIF-2-gamma Y	75
Chang2015	if2p	B2GUV7.1	RecName: Full=Eukaryotic translation initiation factor 5B; Short=eIF-5B; AltName: Full=Annexin V-binding protein ABP-7; AltName: Full=Translation initiation factor IF-2	75
Chang2015	if4a	A3GFI4.1	RecName: Full=ATP-dependent RNA helicase eIF4A; AltName: Full=Eukaryotic initiation factor 4A; Short=eIF-4A; AltName: Full=Translation initiation factor 1	69
Chang2015	if4a_01	B5DG42.1	RecName: Full=Eukaryotic initiation factor 4A-III; Short=eIF-4A-III; Short=eIF4A-III; AltName: Full=ATP-dependent RNA helicase DDX48; AltName: Full=ATP-dependent RNA helicase eIF4A-3; AltName: Full=DEAD box protein 48; AltName: Full=Eukaryotic translation initiation factor 4A isoform 3	76
Chang2015	if6	O55135.2	RecName: Full=Eukaryotic translation initiation factor 6; Short=eIF-6; AltName: Full=B4 integrin interactor; AltName: Full=CAB; AltName: Full=p27(BBP)	73
Chang2015	l12e	Q6NTV9.1	RecName: Full=H/ACA ribonucleoprotein complex subunit 2-like protein; AltName: Full=Nucleolar protein family A member 2-like protein; AltName: Full=snoRNP protein NHP2-like protein	59
Chang2015	l12e_01	P35685.1	RecName: Full=60S ribosomal protein L7a-1	75
Chang2015	mcm	P33992.5	RecName: Full=DNA replication licensing factor MCM5; AltName: Full=CDC46 homolog; AltName: Full=P1-CDC46	77
Chang2015	mcm_01	P49735.1	RecName: Full=DNA replication licensing factor Mcm2; AltName: Full=Minichromosome maintenance 2 protein; Short=DmMCM2	85
